NO2,NO,CO,NH3,V0,V1,V2,V3,V4,V5,tf
100,125,0,125,-4.316e-02,2.244e-02,-6.562e-02,-2.663e-02,4.616e-03,-3.125e-02,4239
51,68,0,67,-3.155e-02,1.496e-02,-4.654e-02,-1.495e-02,2.688e-03,-1.765e-02,4259
118,89,0,75,3.470e-03,3.661e-02,-3.315e-02,2.972e-03,-7.005e-03,9.974e-03,4280
121,82,0,126,-3.427e-02,2.593e-02,-6.020e-02,-2.048e-02,3.989e-04,-2.088e-02,4300
77,70,0,136,-6.370e-02,1.321e-02,-7.692e-02,-3.763e-02,1.097e-02,-4.860e-02,4320
125,50,0,150,-4.837e-02,2.246e-02,-7.083e-02,-3.024e-02,4.489e-03,-3.473e-02,4340
50,50,0,100,-5.613e-02,1.054e-02,-6.668e-02,-2.999e-02,9.120e-03,-3.912e-02,4360
73,90,0,126,-5.813e-02,1.539e-02,-7.353e-02,-3.453e-02,9.982e-03,-4.452e-02,4380
125,100,0,150,-4.548e-02,2.563e-02,-7.111e-02,-2.981e-02,4.448e-03,-3.427e-02,4400
75,150,0,125,-5.317e-02,1.950e-02,-7.268e-02,-3.323e-02,9.533e-03,-4.277e-02,4420
75,100,0,100,-4.026e-02,1.980e-02,-6.008e-02,-2.291e-02,4.646e-03,-2.756e-02,4440
123,145,0,99,-1.119e-02,3.627e-02,-4.747e-02,-7.303e-03,-4.300e-03,-3.010e-03,4460
98,110,0,102,-2.811e-02,2.660e-02,-5.472e-02,-1.643e-02,2.622e-04,-1.670e-02,4481
150,50,0,150,-3.534e-02,2.859e-02,-6.393e-02,-2.220e-02,-6.580e-04,-2.155e-02,4501
100,50,0,100,-2.769e-02,2.381e-02,-5.151e-02,-1.443e-02,-8.191e-04,-1.362e-02,4521
150,125,0,125,-1.626e-02,3.664e-02,-5.290e-02,-1.099e-02,-4.533e-03,-6.468e-03,4541
83,141,0,122,-4.835e-02,2.057e-02,-6.896e-02,-3.004e-02,7.452e-03,-3.750e-02,4561
72,82,0,111,-5.011e-02,1.607e-02,-6.619e-02,-2.866e-02,7.378e-03,-3.605e-02,4581
150,150,0,100,1.897e-03,4.330e-02,-4.139e-02,-2.098e-04,-7.262e-03,7.045e-03,4601
100,150,0,75,-4.684e-03,3.558e-02,-4.025e-02,-3.182e-03,-4.440e-03,1.249e-03,4621
100,75,0,100,-2.639e-02,2.520e-02,-5.159e-02,-1.463e-02,-7.504e-04,-1.389e-02,4641
50,75,0,150,-7.861e-02,8.723e-03,-8.738e-02,-4.564e-02,1.498e-02,-6.062e-02,4661
150,100,0,100,1.441e-03,4.108e-02,-3.963e-02,4.244e-04,-7.648e-03,8.066e-03,4682
62,84,0,109,-5.260e-02,1.458e-02,-6.717e-02,-3.048e-02,8.698e-03,-3.918e-02,4702
50,150,0,50,-1.143e-02,2.680e-02,-3.822e-02,-7.431e-03,-1.871e-04,-7.244e-03,4722
50,50,0,125,-6.816e-02,9.032e-03,-7.715e-02,-3.869e-02,1.227e-02,-5.097e-02,4742
125,100,0,125,-2.870e-02,2.972e-02,-5.843e-02,-1.836e-02,-6.488e-04,-1.772e-02,4762
59,53,0,67,-2.534e-02,1.787e-02,-4.324e-02,-1.180e-02,7.473e-04,-1.256e-02,4782
116,128,0,59,1.687e-02,4.429e-02,-2.742e-02,8.586e-03,-7.967e-03,1.655e-02,4802
50,100,0,50,-1.310e-02,2.304e-02,-3.613e-02,-6.632e-03,-6.369e-04,-6.000e-03,4822
139,56,0,83,9.556e-03,4.055e-02,-3.100e-02,5.860e-03,-8.605e-03,1.446e-02,4842
50,100,0,100,-5.224e-02,1.369e-02,-6.597e-02,-3.020e-02,9.189e-03,-3.939e-02,4862
125,89,0,144,-4.153e-02,2.593e-02,-6.748e-02,-2.741e-02,3.091e-03,-3.051e-02,4883
75,100,0,75,-1.912e-02,2.566e-02,-4.480e-02,-1.072e-02,-6.929e-04,-1.003e-02,4903
125,75,0,150,-4.551e-02,2.462e-02,-7.015e-02,-3.019e-02,4.277e-03,-3.447e-02,4923
50,150,0,100,-4.906e-02,1.693e-02,-6.600e-02,-2.982e-02,9.342e-03,-3.917e-02,4943
50,125,0,75,-3.266e-02,1.957e-02,-5.223e-02,-1.932e-02,4.668e-03,-2.399e-02,4963
50,150,0,75,-3.211e-02,2.098e-02,-5.310e-02,-1.915e-02,4.669e-03,-2.383e-02,4983
